OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Total Housing Units,Occupied Housing Units,Vacant Housing Units,1-unit detached,1-unit attached,2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 to 49 units,50 or more units,Mobile home,Boat RV van etc,Low Density Housing (1-unit att - 4 units),Medium Density Housing (5-49 units),Overcrowded Units (>1 occupants/room),No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Utility gas,Electricity,Fuel oil kerosene etc,Solar energy,No fuel used,All Other Energy Sources,Lacking compete plumbing facilities,Lacking compete kitchen facilities,No telephone service available,Household has a Computer,Household has No Computer,Household has an Internet Subscription,Household has no Internet Subscription,1 bedroom owner occupied,2 bedrooms owner occupied,3 bedrooms owner occupied,4 bedrooms owner occupied,5 or more bedrooms owner occupied,1 bedroom renter occupied,2 bedrooms renter occupied,3 bedrooms renter occupied,4 bedrooms renter occupied,5 or more bedrooms renter occupied,No bedroom owner occupied,No bedroom renter occupied,Neighborhood Type (outside comp plan areas id)
1,9.5,Haller Lake,CRA,Northwest,5Y23,4869,4478,391,2803,467,21,155,215,296,470,316,126,0,643,981,199,149,627,1376,1667,355,304,1775,2451,197,0,20,35,16,16,28,4375,103,4210,165,127,594,1378,342,264,500,782,289,13,40,16,133,CRA
2,10.1,North Beach/Blue Ridge,CRA,Ballard,5Y23,5578,5273,305,3963,424,218,204,143,368,207,23,28,0,846,718,15,114,414,1385,1956,1108,296,2651,1971,505,0,23,123,0,0,0,5230,43,5206,24,177,723,1769,1011,296,237,662,187,97,0,0,114,CRA
3,10.2,Whittier Heights,CRA,Ballard,5Y23,6824,6676,148,3410,827,198,245,627,732,223,504,58,0,1270,1582,228,754,1043,1793,2134,832,120,2382,3748,368,45,108,25,0,29,48,6616,60,6498,118,35,736,1668,793,101,1008,1057,466,39,19,44,710,CRA
4,10.3,Sunset Hill/Loyal Heights,CRA,Ballard,5Y23,7815,7542,273,4258,806,251,158,499,304,494,980,0,65,1215,1297,173,410,1300,1982,2140,1443,267,3296,3463,541,0,56,186,14,15,32,7244,298,6990,254,175,1115,1723,1380,247,1125,867,417,63,20,38,372,CRA
5,10.4,Ballard,CRA,Ballard,5Y23,7304,6707,597,832,548,107,103,533,497,971,3713,0,0,758,2001,474,1418,2436,1547,1129,111,66,1214,5396,0,0,70,27,0,183,0,6599,108,6419,180,740,370,812,80,43,1696,1177,317,31,23,0,1418,CRA
6,11.1,Fremont,CRA,Lake Union,5Y23,11038,10271,767,2892,1199,569,876,1522,1074,1358,1499,28,21,2644,3954,100,1037,3394,2577,2263,777,223,3473,6468,125,28,111,66,21,185,46,10193,78,9716,477,374,1003,1574,535,197,3020,1574,689,242,26,67,970,CRA
7,11.2,Wallingford,CRA,Lake Union,5Y23,9624,8690,934,3224,442,464,508,737,952,1619,1644,0,34,1414,3308,298,1461,2136,2101,1635,862,495,3193,5131,107,98,79,82,64,199,52,8594,96,8211,383,61,679,1130,640,347,2075,1422,505,222,148,51,1410,CRA
8,11.3,Cascade/Eastlake,CRA,Lake Union,5Y23,21108,18525,2583,703,132,80,424,299,773,1902,16737,0,58,636,2974,1215,5816,7472,4622,438,108,69,2984,14574,62,0,746,159,206,431,56,18378,147,17906,472,513,1249,262,59,32,6959,3373,176,49,37,251,5565,CRA
9,12.1,Magnolia,CRA,Magnolia/Queen Anne,5Y23,6136,5753,383,4867,141,33,92,406,346,251,0,0,0,266,1003,41,73,460,1687,1795,1231,507,3245,1929,519,0,0,60,0,0,49,5656,97,5479,177,178,1155,1545,1135,463,282,532,250,96,44,15,58,CRA
10,12.2,Interbay,CRA,Magnolia/Queen Anne,5Y23,6818,6273,545,1756,578,157,435,710,695,1490,997,0,0,1170,2895,121,426,1889,2325,1045,521,67,1349,4521,190,0,108,105,18,18,45,6247,26,6174,73,228,873,538,363,47,1661,1452,507,158,20,67,359,CRA
