OBJECTID,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vintage,Total Population,White Alone Not Hispanic or Latino,Black or African American Alone Not Hispanic or Latino,American Indian and Alaska Native Alone Not Hispanic or Latino,Asian Alone Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino,Some Other Race Alone Not Hispanic or Latino,Two or More Races Not Hispanic or Latino,Hispanic or Latino (of any race),White Alone Hispanic or Latino,Black or African American Alone Hispanic or Latino,American Indian and Alaska Native Alone Hispanic or Latino,Asian Alone Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Hispanic or Latino,Some Other Race Alone Hispanic or Latino,Two or More Races Hispanic or Latino,Person of Color,White in combination with one or more other races,Black or African American in combination with one or more other races,American Indian and Alaska Native in combination with one or more other races,Asian in combination with one or more other races,Native Hawaiian and Other Pacific Islander in combination with one or more other races,Some Other Race in combination with one or more other races,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Percent Persons of Color,NEIGH_NO,Neighborhood Type (outside comp plan areas id)
1,Council District 1,CD,,5Y23,108594,69365,8528,324,10186,442,622,8095,11032,2464,129,297,258,0,3621,4263,39229,11182,2949,2393,4286,374,4450,71829,8657,621,10444,442,4243,12358,36.1,1,CD
2,Council District 2,CD,,5Y23,108053,38042,17797,613,31962,385,842,8001,10411,1567,278,563,198,0,4845,2960,70011,8977,4069,2693,4947,834,2992,39609,18075,1176,32160,385,5687,10961,64.8,2,CD
3,Council District 3,CD,,5Y23,108012,69253,7197,395,14109,331,457,8422,7848,1662,120,292,166,0,2482,3126,38759,10339,2604,1341,5094,894,3607,70915,7317,687,14275,331,2939,11548,35.9,3,CD
4,Council District 4,CD,,5Y23,104299,66702,2861,550,18788,203,429,7561,7205,2443,102,155,71,23,1454,2957,37597,10051,1287,1143,5375,436,3593,69145,2963,705,18859,226,1883,10518,36,4,CD
5,Council District 5,CD,,5Y23,106208,65446,6442,269,15502,338,775,7580,9856,2041,79,167,61,0,3128,4380,40762,11226,1955,2016,4419,714,5147,67487,6521,436,15563,338,3903,11960,38.4,5,CD
6,Council District 6,CD,,5Y23,105404,78877,1538,106,10360,99,557,7624,6243,1799,29,133,84,11,1089,3098,26527,10332,1442,1425,4232,410,4260,80676,1567,239,10444,110,1646,10722,25.2,6,CD
7,Council District 7,CD,,5Y23,101881,56892,3881,310,25607,63,748,6185,8195,2374,44,80,281,0,1511,3905,44989,9679,1438,2057,2984,462,4574,59266,3925,390,25888,63,2259,10090,44.2,7,CD
8,Arbor Heights,CRA,Southwest,5Y23,6145,4862,9,0,329,0,106,406,433,142,0,11,11,0,94,175,1283,562,110,96,306,6,125,5004,9,11,340,0,200,581,20.9,1.1,CRA
9,Fauntleroy/Seaview,CRA,Southwest,5Y23,15120,11880,277,0,689,0,5,941,1328,528,0,0,33,0,360,407,3240,1305,103,178,634,55,515,12408,277,0,722,0,365,1348,21.4,1.2,CRA
10,West Seattle Junction/Genesee Hill,CRA,Southwest,5Y23,23800,18495,504,0,1138,41,224,1599,1799,596,61,54,0,0,270,818,5305,2324,335,620,804,73,840,19091,565,54,1138,41,494,2417,22.3,1.3,CRA
